id,question_keywords,question_text,intent_type,answer_text,topic_tag,response_type
11,"support, academic help, student services","Where is Rio Grande University located, and how can someone contact them?",contact_info,"Rio Grande University is located at 218 N College Avenue, Rio Grande, OH 45674.",Gernal,rule
12,"support, academic help, student services",What does Rio Grande University offer in terms of academics?,academics,"At Rio Grande University, we offer a wide range of academic programs to cater to the diverse interests and career goals of our students. Our faculty consists of dedicated teachers and scholars who are committed to the academic and personal growth of every student. We provide academically challenging programs that promote excellence in learning.

Some of the academic offerings at Rio Grande University include undergraduate programs, graduate programs, and professional development courses. Our undergraduate programs cover various fields such as business, education, nursing, criminal justice, psychology, and more. We also offer graduate programs in areas like education, business administration, and nursing.

In addition to traditional classroom learning, we provide opportunities for experiential learning, internships, and research projects to enhance the practical skills and knowledge of our students. Our state-of-the-art facilities, including fully equipped laboratories and classrooms, ensure that students have access to the resources they need for their academic pursuits.

Furthermore, we offer flexible scheduling options to accommodate the needs of our students. This includes evening classes, weekend programs, and off-campus sites in Jackson, Meigs, and McArthur. We strive to create a personalized, learner-centered environment that fosters successful lives, careers, and responsible citizenship.

For more detailed information about our academic programs, you can visit our Academics page on our website here.",Gernal,rule
13,"support, academic help, student services",Is there an Honors Program at Rio Grande University?,honors_program,"Yes, Rio Grande University does have an Honors Program. The Honors Program is an academic program that can be taken in conjunction with a student's major curriculum. Students who successfully complete the Honors curriculum in addition to their program curriculum will graduate with the designation of ""Honors"" on their transcript. The program is open to both first-semester Rio students and currently enrolled Rio students who meet the admission criteria. The Honors Program offers specialized curriculum, honors seminars, and a capstone project to engage gifted students and challenge them to achieve their maximum potential. To apply to the Honors Program, you can visit the Honors Program Application page on our website. For more information, you can contact Dr. Kay-Anne Darlington, the Associate Professor of Communication and Director of the Honors Program, at kdarlington@rio.edu or 740-245-7489.",Gernal,rule
14,"support, academic help, student services",How can I apply to Rio Grande University?,admissions_apply,"To apply to Rio Grande University, you can visit our online admissions application at Rio's official website. Simply click on the ""Apply Now"" button, and it will direct you to the application page. You can also find the application link in the context provided. Once you're on the application page, you can fill out the necessary information and submit your application. If you have any questions or need assistance during the application process, feel free to reach out to us. We're here to help!",Gernal,rule
15,"support, academic help, student services",Are there employment opportunities at Rio Grande University?,employment_opportunities,"At Rio Grande University, we provide a range of employment opportunities for our graduates. Here is the data on the number of graduates employed in the teaching field attending graduate school for the past four years:

2018-2019: 29 graduates employed in teaching field, 21 attending graduate school
2019-2020: 23 graduates employed in teaching field, 12 attending graduate school
2020-2021: 35 graduates employed in teaching field, 19 attending graduate school
2021-2022: 22 graduates employed in teaching field, 17 attending graduate school
These numbers demonstrate the success of our graduates in securing employment in the education sector. However, it's important to note that Rio Grande University offers a wide range of academic programs, and employment opportunities may vary depending on the field of study. For more specific information about employment opportunities in a particular field, I recommend reaching out to our Career Services department. They can provide personalized guidance and resources to help you explore and pursue career opportunities.",Gernal,rule
16,"support, academic help, student services",How can I connect with Rio Grande University on social media?,social_media,Rio Grande University is active on Facebook and Instagram. You can follow us on Facebook at [https://www.facebook.com/RioAlum/] and on Instagram at [https://www.instagram.com/rioalum/].,Gernal,rule
17,"support, academic help, student services",When does Open Registration for Spring 2024 begin at Rio Grande University?,registration_dates,"Open Registration for Spring 2024 at Rio Grande University begins on November 1, 2023. This is the start date for the second 8-week courses at the Rio Grande Main Campus. You can find more information about the registration process and important dates on our website under the ""Events"" section here [https://www.rio.edu/events]",Gernal,rule
18,"support, academic help, student services",What alternative does Rio Grande University offer for those not seeking a traditional 4-year dorm-living college experience?,nontraditional_pathways,"At Rio Grande University, we understand that not everyone is looking for a traditional 4-year dorm-living college experience. That's why we offer an exceptional alternative through our regional centers. Our Rio Centers focus on supporting their communities by providing access to quality education and developing a more vital workforce. These centers offer classes and 2-year degrees for busy working adults who may not have the flexibility to attend a traditional campus. Whether you're looking to further your education or gain new skills, our regional centers provide a convenient and flexible option.",Gernal,rule
19,"support, academic help, student services","How many regional centers does Rio Grande University have, and what are their locations?",regional_centers_info,"Rio Grande University has three regional centers. They are located in Jackson, McArthur, and Pomeroy.",Gernal,rule
20,"support, academic help, student services",What is the focus of Rio Centers in terms of education and workforce development?,rio_centers_focus,"Rio Centers at Rio Grande University focus on supporting their communities by providing access to quality education and developing a more vital workforce. They offer classes and 2-year degrees for busy working adults, as well as career path access with a focus on industry certification, professional skills development, and assistance with job placement. The Jackson Center, one of the Rio Centers, specifically aims to provide students with career path access and focuses on industry certification, professional skills development, and job placement assistance.",Gernal,rule
21,"support, academic help, student services",What educational opportunities are available at Rio Centers for busy working adults?,rio_centers_opportunities,"At Rio Centers, we offer educational opportunities specifically designed for busy working adults. Our centers provide access to quality education and offer 2-year degrees and classes that cater to the needs of working professionals. Whether you're looking to earn a degree, train for a new career, or earn industry-recognized credentials, our centers are here to support you in achieving your educational goals. We understand that not everyone is looking for a traditional 4-year dorm-living college experience, which is why our regional centers provide an exceptional alternative for individuals who are juggling work and other responsibilities.",Gernal,rule
22,"support, academic help, student services",Where can one find information about Rio Centers on the website?,rio_centers_web_info,"You can find information about Rio Centers on the Rio Grande University website under the ""Campus Locations"" section. This section provides details about the different regional centers, including the Jackson Center, McArthur Center, Meigs Center, and Pike County. Each center has its own dedicated page with information about the services and programs offered. You can access this information by visiting the following URL: https://www.rio.edu/academics/campus-locations",Gernal,rule
23,"support, academic help, student services",How does Rio Grande University contribute to the communities through its regional centers?,community_outreach,"Rio Grande University contributes to the communities through its regional centers by providing access to quality education and developing a more vital workforce. The regional centers offer classes and 2-year degrees for busy working adults, allowing them to earn a degree, train for a new career, and earn industry-recognized stackable credentials needed in the local workforce. These centers focus on supporting their communities and providing educational opportunities close to home.",Gernal,rule
24,"support, academic help, student services",Are there specific programs or degrees offered at Rio Centers?,rio_centers_programs,"At Rio Centers, we offer a variety of programs and degrees to cater to the needs of our students. Some of the specific programs and degrees offered at Rio Centers include 2-year degrees and classes for busy working adults. These programs are designed to provide access to quality education and develop a more vital workforce in our communities. If you are interested in learning more about the specific programs and degrees available at Rio Centers, I recommend visiting our Academics page on our website [https://www.rio.edu/academics].",Gernal,rule
25,"support, academic help, student services",How can individuals benefit from the educational opportunities at Rio Centers?,rio_centers_benefits,"At Rio Centers, we offer a range of educational opportunities that come with several benefits. Firstly, our Centers provide access to quality education for individuals in their local communities. This means that you can pursue your education close to home, saving you time and money on commuting or relocating.

Secondly, our programs at Rio Centers are designed to cater to the needs of busy working adults. We understand that you may have other commitments such as work or family, so our classes and 2-year degrees are structured to accommodate your schedule. This flexibility allows you to balance your education with your other responsibilities.

Additionally, our professors at Rio Centers work closely with students to provide personalized attention and support. With smaller class sizes, you can expect more one-on-one interaction and guidance from your professors. This individualized approach helps to ensure that you receive the necessary support to succeed in your studies and prepare for your future career.

Furthermore, our educational programs at Rio Centers focus on developing a more vital workforce. We offer industry-recognized stackable credentials that are in demand in the local workforce. By earning these credentials, you can enhance your employability and increase your chances of securing a good job in your chosen field.

Lastly, Rio Centers provide a welcoming and supportive environment. Whether you're a commuter or a resident student, you have access to campus facilities and resources such as fitness rooms, racquetball courts, indoor swimming pool, library, and student lounges. You can also participate in various campus activities, including athletics, Greek life, and student senate. We believe that your college experience should be enriching and enjoyable, and we strive to create a vibrant campus life for all our students.

Overall, the benefits of the educational opportunities at Rio Centers include accessibility, flexibility, personalized attention, industry relevance, and a supportive community. We are committed to providing you with a high-quality education that meets your needs and helps you achieve your goals.",Gernal,rule
26,"support, academic help, student services",What is the significance of the map of Southeastern Ohio with locations noted on the website?,location_map_info,"The map of Southeastern Ohio with locations noted on the Rio Grande University website is provided to help visitors and prospective students get a better understanding of the university's location and its surroundings. It allows individuals to see the proximity of Rio Grande to major cities such as Columbus, Cincinnati, and Cleveland, as well as other nearby areas like Huntington, WV. This map helps showcase the university's accessibility and provides a visual representation of the beautiful natural scenery and rolling hills that surround the campus.",Gernal,rule
27,"support, academic help, student services",How can interested individuals get more information about the programs and offerings at Rio Centers?,rio_centers_contact,"Interested individuals can obtain more information about the programs and offerings at Rio Centers through the following ways:

Request Information: By visiting our website's Admissions page here, individuals can fill out a form to request more information about the programs and offerings at Rio Centers. Our admissions staff will then reach out to provide the requested information.

Visit Campus: Individuals can schedule a visit to one of our Rio Centers by visiting our website's Visit Campus page here. During the visit, they will have the opportunity to explore the facilities, meet with staff, and learn more about the programs and offerings available.

Contact Us: For immediate assistance and personalized information, individuals can contact our admissions office directly. They can reach us at (800) 282-7201 [tel:+1-800-282-7201] or by emailing us at admissions@rio.edu. Our admissions staff will be happy to answer any questions and provide detailed information about the programs and offerings at Rio Centers.

By utilizing these resources, interested individuals can gather all the necessary information they need to make an informed decision about their education and explore the programs and offerings available at Rio Centers.",Gernal,rule
28,"support, academic help, student services",What is the reason for the closure of the University of Rio Grande campuses on January 19?,campus_closure,The University of Rio Grande campuses were closed on January 19 due to weather conditions.,Gernal,rule
29,"support, academic help, student services","Where can one find more information on delays, closings, and cancellations related to weather conditions?",weather_alerts,"You can find more information on delays, closings, and cancellations related to weather conditions on the Rio Grande University website. Please visit www.rio.edu/weather [http://www.rio.edu/weather] for the most up-to-date information.",Gernal,rule
30,"support, academic help, student services","Who is the coordinator of College Credit Plus at Rio Grande, and how can they be contacted?",ccp_contact,The coordinator of College Credit Plus at Rio Grande is Ciara Small. You can contact Ciara Small via email at csmall@rio.edu or by phone at 740-245-7210.,Gernal,rule
31,"support, academic help, student services",What is the focus of the College Credit Plus Program at Rio Grande?,ccp_info,The focus of the College Credit Plus Program at Rio Grande is to promote rigorous academic pursuits and provide a wide range of options to college-ready students. The program allows students to earn college and high school credits simultaneously by taking college courses from Rio Grande. The intent is to encourage students to engage in challenging coursework and expand their educational opportunities.,Gernal,rule
32,"support, academic help, student services",How can students apply for the College Credit Plus Program at Rio Grande?,ccp_apply,"To apply for the College Credit Plus Program at Rio Grande, students can follow these steps:

Visit our website at [https://www.rio.edu/documents/2022-ccp-application] to access the CCP application form.

Complete the application form with all the required information.

Submit the application before the deadline for the Fall 2023 Semester, which is August 1st, 2023.

After submitting the application, students will be screened and admitted in the Fall Semester.

To be eligible for participation, students must have completed placement tests and meet the academic standards of Rio Grande.

Please note that the College Credit Plus Program is designed for college-ready students who want to earn college and high school credits simultaneously. It's a great opportunity to pursue rigorous academic pursuits and explore a wide range of options. If you have any further questions or need assistance with the application process, feel free to reach out to us at (800) 282-7201 or visit our Admissions page at [https://www.rio.edu/admissions].",Gernal,rule
33,"support, academic help, student services","What does the 15-Credit Pathway in College Credit Plus include, and how many credit hours does it comprise?",ccp_15_credit_pathway,"The 15-Credit Pathway in College Credit Plus includes three courses: ENG 11103 (TM) Composition I, ENG 11203 (TM) Composition II, and COM 11103 (TM) Fundamentals of Speech Communication. These courses have a total of 9 credit hours. Additionally, students can choose one course from the options of ART 10303 (TM) Art Appreciation, MUS 10403 (TM) Music Appreciation, or FPA 10503 (TM) Fine Arts, which adds 3 credit hours. Lastly, students can choose one course from the options of ENG 24103 (TM) The Literary Imagination, HUM 20103 (TM) The Humanities, or PHR 21103 (TM) Philosophical Inquiry, which also adds 3 credit hours. Therefore, the 15-Credit Pathway comprises a total of 15 credit hours.",Gernal,rule
34,"support, academic help, student services",What are the course options in the 30+ Credit Pathway of College Credit Plus?,ccp_30_credit_pathway,"In the 30+ Credit Pathway of College Credit Plus, there are several course options available. Here are the courses you can choose from:

World Civilization I or World Civilization II (Credits: 3)
Anthropology or American History II or American National Government (Credits: 3)
Contemporary Economics or General Psychology or Introduction to Sociology (Credits: 3)
Pre-calculus or Introductory Probability and Statistics or Calculus I (Credits: 4-5)
Principles of Biology or Biology I (Credits: 4)
In addition to these courses, you will also need to complete 15 credit hours from the 15-Credit Pathway. These courses include Composition I, Composition II, Fundamentals of Speech Communication, Art Appreciation or Music Appreciation or Fine Arts, and The Literary Imagination or The Humanities or Philosophical Inquiry.

Please note that these course options are specific to the 30+ Credit Pathway of College Credit Plus at Rio Grande University. If you have any further questions or need more information, feel free to ask!",Gernal,rule
35,"support, academic help, student services",What are some eligible courses for College Credit Plus Level I TAG Courses?,ccp_tag_courses,"Some eligible courses for College Credit Plus Level I TAG Courses include:

SPA 23803 Spanish Linguistics
SPA 24103 Advanced Conversation and Composition
Study Skills
LA 10001 Gateway to Success
LA 10303 Focus on Success
These courses meet the eligibility requirements for Level I courses in the College Credit Plus program at Rio Grande University",Gernal,rule
36,"support, academic help, student services",Who is the Director of Academic Support Services & Student Accessibility at Rio Grande Main Campus?,academic_support_contact,,Gernal,rule
37,"support, academic help, student services","How can you contact Amanda Adams-Mock, the Adjunct Professor in Psychology at Rio Grande Main Campus?",faculty_contact,"
You can contact Amanda Adams-Mock, the Adjunct Professor in Psychology at Rio Grande Main Campus, by using the following contact information:

Phone: 740-245-7182
Email: aadams-mock@rio.edu
You can also find more information about Amanda Adams-Mock and her profile on our Faculty Directory page under the School of Liberal Arts & Social Science section. Here is the link to the Faculty Directory: [https://www.rio.edu/academics/faculty-directory?type=55]",Gernal,rule
38,"support, academic help, student services",Which building and floor is Stephanie Alexander located in at the Rio Grande Main Campus?,faculty_location,"
Stephanie Alexander is located on the ground floor (Floor 06) of the Davis Library at the Rio Grande Main Campus.",Gernal,rule
39,"support, academic help, student services","What is Katharine Alexander's role at Rio Grande, and how can she be contacted?",faculty_contact,Katharine Alexander is an Adjunct Professor of Anthropology at Rio Grande. She can be contacted at 740-245-7182 or through email at kalexander@rio.edu.,Gernal,rule
40,"support, academic help, student services","Where is Savannah Applegate's office located, and what is her position at Rio Grande Main Campus?",faculty_location,"Savannah Applegate's position at Rio Grande Main Campus is not provided in the given context. I apologize for the inconvenience, but I am unable to provide information about her position.",Gernal,rule
41,"support, academic help, student services",Who is the Head Coach of Men's Basketball and Athletic Recruiter at Rio Grande Main Campus?,athletics_contact,"I'm sorry, but I don't have the information about the current Head Coach of Men's Basketball and Athletic Recruiter at Rio Grande Main Campus. My knowledge is limited to the information provided in the context.",Gernal,rule
42,"support, academic help, student services","What is the contact information for Rick Ash, the CCP Teacher-High School located off-campus?",ccp_teacher_contact,"I apologize, but I don't have the information you're looking for. My purpose is to provide information related to Rio Grande University and its services. If you have any questions about the university or any of its departments, I'll be happy to assist you.",Gernal,rule
43,"support, academic help, student services","Which building and room is Lorna Atkins located in at the Rio Grande Main Campus, and what is her role?",faculty_location,"Lorna Atkins' role at the Rio Grande Main Campus is not mentioned in the provided context. I apologize for the inconvenience. As a CampusBot, I am here to provide information related to Rio Grande University and its campus. If you have any other questions or need assistance with anything else related to Rio Grande University, please let me know and I'll be happy to help.",Gernal,rule
44,"support, academic help, student services","How can Adrian Arose, the Adjunct Professor in Art, be reached at Rio Grande Main Campus?",faculty_contact,"I'm sorry, but I couldn't find any information about Adrian Arose, the Adjunct Professor in Art, at Rio Grande Main Campus in the provided context.",Gernal,rule
